0,10
0.0625,9.7873
0.125,9.566
0.1875,9.3359
0.25,9.0972
0.3125,8.8498
0.375,8.5938
0.4375,8.329
0.5,8.0556
0.5625,7.7734
0.625,7.4826
0.6875,7.1832
0.75,6.875
0.8125,6.5582
0.875,6.2326
0.9375,5.8984
1,5.5556
1.0625,5.204
1.125,4.8438
1.1875,4.4748
1.25,4.0972
1.3125,3.7109
1.375,3.316
1.4375,2.9123
1.4375,2.9123
1.5,3.2752
1.5625,3.6293
1.625,3.9748
1.6875,4.3116
1.75,4.6398
1.8125,4.9592
1.875,5.27
1.9375,5.572
2,5.8655
2.0625,6.1502
2.125,6.4262
2.1875,6.6936
2.25,6.9523
2.3125,7.2023
2.375,7.4436
2.4375,7.6762
2.5,7.9002
2.5625,8.1155
2.625,8.322
2.6875,8.52
2.75,8.7092
2.8125,8.8898
2.875,9.0616
2.9375,9.2248
3,9.3793
3.0625,9.5252
3.125,9.6623
3.1875,9.7908
3.25,9.9106
3.3125,10.022
3.375,10.124
3.4375,10.218
3.5,10.303
3.5625,10.379
3.625,10.447
3.6875,10.506
3.75,10.556
3.8125,10.598
3.875,10.631
3.9375,10.655
4,10.671
4.0625,10.678
4.125,10.676
4.1875,10.666
4.25,10.647
4.3125,10.619
4.375,10.582
4.4375,10.537
4.5,10.484
4.5625,10.421
4.625,10.35
4.6875,10.27
4.75,10.181
4.8125,10.084
4.875,9.9783
4.9375,9.8637
5,9.7405
5.0625,9.6085
5.125,9.4679
5.1875,9.3186
5.25,9.1606
5.3125,8.9939
5.375,8.8186
5.4375,8.6345
5.5,8.4418
5.5625,8.2405
5.625,8.0304
5.6875,7.8116
5.75,7.5842
5.8125,7.3481
5.875,7.1033
5.9375,6.8498
6,6.5877
6.0625,6.3168
6.125,6.0373
6.1875,5.7491
6.25,5.4523
6.3125,5.1467
6.375,4.8325
6.4375,4.5095
6.5,4.178
6.5625,3.8377
6.625,3.4887
6.6875,3.1311
6.75,2.7648
6.75,2.7648
6.8125,3.0569
6.875,3.3405
6.9375,3.6153
7,3.8814
7.0625,4.1389
7.125,4.3877
7.1875,4.6278
7.25,4.8592
7.3125,5.0819
7.375,5.296
7.4375,5.5014
7.5,5.6981
7.5625,5.8861
7.625,6.0655
7.6875,6.2361
7.75,6.3981
7.8125,6.5514
7.875,6.696
7.9375,6.8319
8,6.9592
8.0625,7.0778
8.125,7.1877
8.1875,7.2889
8.25,7.3814
8.3125,7.4653
8.375,7.5405
8.4375,7.6069
8.5,7.6648
8.5625,7.7139
8.625,7.7543
8.6875,7.7861
8.75,7.8092
8.8125,7.8236
8.875,7.8293
8.9375,7.8264
9,7.8148
9.0625,7.7944
9.125,7.7655
9.1875,7.7278
9.25,7.6814
9.3125,7.6264
9.375,7.5627
9.4375,7.4903
9.5,7.4092
9.5625,7.3194
9.625,7.221
9.6875,7.1139
9.75,6.9981
9.8125,6.8736
9.875,6.7405
9.9375,6.5986
10,6.4481
10.063,6.2889
10.125,6.121
10.188,5.9444
10.25,5.7592
10.313,5.5653
10.375,5.3627
10.438,5.1514
10.5,4.9314
10.563,4.7028
10.625,4.4655
10.688,4.2194
10.75,3.9648
10.813,3.7014
10.875,3.4293
10.938,3.1486
10.938,3.1486
11,3.3438
11.063,3.5303
11.125,3.7082
11.188,3.8774
11.25,4.0378
11.313,4.1897
11.375,4.3328
11.438,4.4672
11.5,4.593
11.563,4.7101
11.625,4.8185
11.688,4.9182
11.75,5.0092
11.813,5.0916
11.875,5.1653
11.938,5.2303
12,5.2866
12.063,5.3342
12.125,5.3732
12.188,5.4035
12.25,5.4251
12.313,5.438
12.375,5.4422
12.438,5.4378
12.5,5.4247
12.563,5.4028
12.625,5.3724
12.688,5.3332
12.75,5.2853
12.813,5.2288
12.875,5.1636
12.938,5.0897
13,5.0072
13.063,4.9159
13.125,4.816
13.188,4.7074
13.25,4.5901
13.313,4.4641
13.375,4.3294
13.438,4.1861
13.5,4.0341
13.563,3.8734
13.625,3.704
13.688,3.526
13.75,3.3392
13.813,3.1438
13.875,2.9397
13.938,2.7269
14,2.5055
14,2.5055
14.062,2.5055
14.122,2.5055
14.18,2.5055
14.236,2.5055
14.291,2.5055
14.344,2.5055
14.395,2.5055
14.444,2.5055
14.492,2.5055
14.538,2.5055
14.582,2.5055
14.625,2.5055
14.666,2.5055
14.705,2.5055
14.742,2.5055
14.778,2.5055
14.812,2.5055
14.844,2.5055
14.874,2.5055
14.903,2.5055
14.93,2.5055
14.955,2.5055
14.978,2.5055
15,2.5055
